                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 3.2492,                 4.3298,                 3.3804,                   4.01,                0.00292,                0.81633,                0.04319,                 0.0108,                0.00256,                0.71429,                0.03292,                0.00806,                 2.5722,                 5.0349,                 3.3431,                 3.9825,             9.7257e-05,             1.1364e-05,             1.1364e-05
                     34,                 3.2897,                 4.2687,                 3.4131,                 3.9955,                0.00298,                0.83673,                 0.0478,                0.01242,                0.00247,                0.69388,                0.04134,                0.00886,                 2.5921,                 4.8616,                 3.3938,                 3.9223,             9.7484e-05,             1.1708e-05,             1.1708e-05
                     35,                 3.3186,                 4.1454,                 3.4062,                 3.9753,                0.00299,                0.83673,                0.07233,                0.01621,                 0.0027,                 0.7551,                0.06719,                0.01694,                 2.5666,                 4.8815,                 3.3878,                 3.8889,             9.7711e-05,             1.2051e-05,             1.2051e-05
                     36,                 3.3883,                 4.1609,                 3.3923,                 3.9611,                0.00305,                0.85714,                0.05886,                0.01392,                0.00276,                0.77551,                0.05247,                0.01385,                   2.55,                 4.7558,                 3.4618,                 3.8228,             9.7938e-05,             1.2395e-05,             1.2395e-05
                     37,                 3.3102,                 4.1268,                 3.3358,                 3.9255,                 0.0383,                0.30612,                0.11741,                0.02452,                0.03241,                0.28571,                0.09166,                0.02482,                 2.5449,                  4.688,                 3.4642,                 3.8038,             9.8164e-05,             1.2739e-05,             1.2739e-05
                     38,                 3.3078,                 4.0665,                 3.3166,                 3.9045,                0.00305,                0.85714,                 0.0548,                  0.014,                0.00943,                0.65306,                0.05777,                0.01599,                 2.5541,                 4.6323,                 3.4996,                 3.7532,             9.8391e-05,             1.3082e-05,             1.3082e-05
                     39,                 3.2984,                  4.075,                 3.3471,                  3.887,                0.00826,                0.81633,                0.07781,                0.01623,                0.01184,                0.55102,                0.08667,                0.01962,                 2.5187,                 4.5886,                 3.4264,                 3.7274,             9.8618e-05,             1.3426e-05,             1.3426e-05
                     40,                 3.2658,                 4.0504,                 3.3064,                 3.8608,                0.07046,                 0.2449,                0.08552,                0.02023,                0.05285,                0.18367,                0.07063,                0.01883,                 2.5282,                 4.5323,                 3.4627,                 3.7064,             9.8844e-05,             1.3769e-05,             1.3769e-05
                     41,                 3.2786,                 4.0131,                 3.2659,                   3.83,                0.19994,                0.12245,                0.07176,                 0.0196,                0.18685,                0.10204,                0.06562,                0.01883,                 2.5425,                 4.4715,                   3.43,                  3.697,             9.9071e-05,             1.4112e-05,             1.4112e-05
                     42,                 3.2553,                 3.9467,                 3.2814,                 3.8193,                0.04809,                0.20408,                0.03825,                0.01218,                0.02758,                0.22449,                0.03248,                 0.0088,                 2.5297,                 4.4227,                 3.4018,                 3.6926,             9.9297e-05,             1.4455e-05,             1.4455e-05
