                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 2.9275,                 4.1029,                  3.704,                  3.946,                0.04797,                0.09615,                0.03516,                0.01175,                0.05757,                0.11538,                0.02934,                0.00903,                 2.4822,                 4.9363,                 3.8946,                 3.9104,             0.00013397,             2.0059e-05,             2.0059e-05
                     40,                 3.0267,                 4.1161,                 3.7102,                 3.9258,                0.04625,                0.17308,                0.02917,                0.00908,                0.05139,                0.19231,                0.02327,                0.00735,                 2.5009,                 4.7935,                 3.8318,                 3.8953,             0.00013429,             2.0573e-05,             2.0573e-05
                     41,                 2.9115,                 4.0083,                 3.6814,                 3.9024,                0.08343,                0.19231,                 0.0511,                0.01518,                0.15638,                0.11538,                0.04371,                 0.0137,                 2.5106,                 4.6448,                 3.7168,                 3.8703,             0.00013461,             2.1087e-05,             2.1087e-05
                     42,                 2.9119,                 3.9866,                  3.686,                 3.9033,                0.06885,                0.11538,                0.03726,                0.01112,                0.09179,                0.15385,                0.03066,                0.01027,                 2.5361,                 4.4521,                 3.6743,                 3.8721,             0.00013492,               2.16e-05,               2.16e-05
                     43,                 2.9019,                 3.9796,                 3.6828,                  3.879,                0.10878,                0.15385,                0.06876,                0.02036,                0.12238,                0.17308,                0.05888,                0.02079,                 2.5312,                  4.411,                 3.4815,                 3.8773,             0.00013524,             2.2114e-05,             2.2114e-05
                     44,                 2.8692,                 5.1421,                 3.5839,                 3.8682,                0.15919,                0.11538,                0.06238,                0.01838,                0.19034,                0.11538,                0.06403,                 0.0193,                 2.5134,                 4.3812,                 3.4588,                 3.8592,             0.00013556,             2.2627e-05,             2.2627e-05
                     45,                 2.9123,                 3.9315,                 3.5975,                 3.8422,                0.10568,                0.13462,                0.05829,                0.01847,                 0.1467,                0.13462,                0.05815,                0.01776,                 2.4974,                  4.313,                 3.4637,                 3.8287,             0.00013588,             2.3141e-05,             2.3141e-05
                     46,                 2.8488,                 3.8209,                 3.6338,                 3.7916,                0.15854,                0.23077,                0.07201,                0.01872,                0.10875,                0.15385,                0.04567,                0.01451,                 2.5003,                 4.1149,                 3.4195,                 3.7978,             0.00013619,             2.3654e-05,             2.3654e-05
                     47,                 2.9221,                  3.834,                 3.5472,                 3.8121,                0.13448,                0.21154,                0.08233,                0.02017,                0.13247,                0.15385,                0.06883,                0.02143,                 2.5644,                 4.0903,                 3.5354,                 3.7561,             0.00013651,             2.4167e-05,             2.4167e-05
                     48,                 2.8534,                 3.8677,                 3.5446,                 3.7819,                0.15162,                0.17308,                0.07338,                0.02028,                0.13165,                0.15749,                0.06514,                0.02071,                 2.5808,                 4.0767,                 3.6451,                 3.7243,             0.00013683,              2.468e-05,              2.468e-05
