                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.2982,                 3.7836,                 2.8353,                 3.0716,                0.19442,                0.12245,                0.11706,                0.04367,                0.20945,                0.06122,                0.09328,                0.04387,                 2.8158,                 4.3651,                   2.97,                 2.7494,              0.0046427,             5.0267e-07,             5.0267e-07
                     35,                 3.1918,                 3.5713,                 2.6912,                 2.9738,                0.26144,                0.12245,                0.09975,                0.03509,                0.16415,                0.10204,                0.10161,                0.04228,                 2.8145,                 3.9518,                  3.222,                 2.7339,              0.0046373,             5.1745e-07,             5.1745e-07
                     36,                 3.2858,                 3.7551,                 2.7941,                 3.0433,                0.13251,                0.16327,                 0.0898,                0.02806,                0.36145,                0.12245,                0.15385,                0.04683,                  2.822,                 3.9593,                 3.0493,                 2.7383,               0.004632,             5.3223e-07,             5.3223e-07
                     37,                 3.2809,                 3.7062,                 2.8204,                  3.008,                0.21512,                0.14286,                0.14001,                0.04129,                0.25683,                0.14286,                0.14551,                0.04957,                 2.7856,                 4.0313,                 3.1007,                 2.6983,              0.0046266,             5.4701e-07,             5.4701e-07
                     38,                 3.2012,                 3.7284,                  2.776,                 2.9859,                0.16451,                0.18367,                0.09789,                0.03484,                0.21092,                0.14739,                0.12559,                0.04089,                 2.7973,                 3.9148,                 2.9558,                 2.6943,              0.0046213,             5.6178e-07,             5.6178e-07
                     39,                 3.2182,                 3.7255,                 2.7321,                 2.9802,                0.21968,                0.16327,                0.14748,                0.04957,                0.26466,                0.14286,                0.12991,                 0.0546,                 2.8236,                 4.0264,                 2.8876,                 2.7396,              0.0046159,             5.7655e-07,             5.7655e-07
                     40,                 3.2396,                 3.8099,                 2.8707,                 3.0079,                0.18959,                 0.2449,                0.11851,                0.03241,                0.21604,                0.20408,                0.12084,                0.03746,                 2.8218,                 3.8719,                 2.8247,                 2.7299,              0.0046106,             5.9132e-07,             5.9132e-07
                     41,                 3.1773,                 3.6033,                 2.6797,                 2.9547,                0.19394,                0.22589,                0.14381,                0.04653,                0.20168,                0.20408,                0.10975,                0.03956,                   2.84,                 4.5637,                 2.7684,                 2.7269,              0.0046052,             6.0608e-07,             6.0608e-07
                     42,                 3.2661,                 3.7626,                 2.7061,                 3.0146,                0.22032,                  0.323,                0.13019,                0.04434,                 0.1745,                0.17267,                0.14179,                0.04599,                  2.812,                 3.9725,                 2.6832,                 2.7155,              0.0045999,             6.2084e-07,             6.2084e-07
                     43,                  3.249,                 3.7483,                 2.7143,                 2.9875,                0.25861,                0.10696,                0.16627,                0.05773,                0.26904,                0.10204,                0.12765,                0.05169,                 2.7686,                 4.2531,                 3.0119,                 2.7037,              0.0045945,              6.356e-07,              6.356e-07
                     44,                 3.2704,                 3.7525,                 2.7511,                 2.9992,                0.26562,                0.12245,                0.12273,                 0.0488,                0.22135,                0.10204,                0.07489,                 0.0265,                 2.8105,                 4.8126,                  3.355,                 2.7092,              0.0045892,             6.5035e-07,             6.5035e-07
                     45,                  3.218,                 3.6961,                 2.7705,                 3.0082,                0.30623,                0.10204,                0.12437,                0.04828,                0.16902,                0.04082,                0.08982,                0.03717,                 2.7835,                 4.3933,                 2.9562,                 2.7241,              0.0045838,             6.6511e-07,             6.6511e-07
                     46,                 3.2359,                 3.6987,                 2.7021,                 2.9818,                0.15537,                0.22449,                0.11686,                0.04022,                0.15537,                0.22449,                0.10679,                0.04028,                 2.7912,                  3.902,                 2.7237,                 2.7052,              0.0045785,             6.7986e-07,             6.7986e-07
                     47,                 3.2508,                 3.6892,                 2.7584,                 3.0108,                0.16422,                0.20408,                0.11924,                0.04092,                0.13074,                0.16327,                0.10479,                0.04072,                 2.7683,                 3.7883,                 2.7499,                 2.6885,              0.0045731,              6.946e-07,              6.946e-07
                     48,                 3.0854,                 3.6099,                 2.7278,                 2.9548,                0.21475,                0.18367,                0.08778,                0.02814,                0.20087,                0.12245,                0.07937,                0.02776,                 2.7766,                 4.4718,                 2.9717,                 2.7001,              0.0045677,             7.0934e-07,             7.0934e-07
                     49,                 3.1187,                 3.6954,                 2.7793,                 2.9043,                0.17014,                0.24271,                0.07283,                0.01903,                0.15961,                 0.2449,                0.09463,                0.03131,                 2.8141,                 3.7715,                 3.1378,                 2.7259,              0.0045624,             7.2408e-07,             7.2408e-07
                     50,                 3.1701,                 3.5976,                 2.7028,                 2.9579,                0.32968,                0.18367,                0.13985,                 0.0307,                0.29952,                0.14286,                0.14499,                0.04358,                 2.8253,                 4.0962,                 2.9472,                 2.7699,               0.004557,             7.3882e-07,             7.3882e-07
                     51,                  3.125,                  3.502,                 2.6102,                 2.9769,                 0.3368,                0.18367,                0.15074,                0.04502,                0.42218,                0.17911,                 0.1643,                0.06658,                 2.8402,                 4.0242,                 2.9834,                 2.7697,              0.0045517,             7.5356e-07,             7.5356e-07
