                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.1499,                 5.3774,                 3.8857,                 4.1691,                0.05238,                0.01923,                0.01824,                0.00604,                0.00122,                0.34615,                 0.0011,                 0.0002,                 2.7905,                 5.3618,                  3.485,                 4.2017,              0.0012719,             0.00082214,             0.00082214
                     36,                 3.1529,                 5.4922,                 3.9479,                 4.1784,                0.27616,                0.01923,                0.02589,                0.00774,                0.00122,                0.34615,                0.00099,                 0.0002,                 2.8074,                 5.3684,                 3.4828,                 4.2058,              0.0012934,             0.00084566,             0.00084566
                     37,                 3.1077,                 5.3222,                 3.8495,                 4.1739,                0.03131,                0.05769,                0.01631,                0.00539,                0.00136,                0.38462,                0.00142,                0.00024,                 2.8129,                 5.3726,                 3.4644,                 4.2209,               0.001315,             0.00086917,             0.00086917
                     38,                 3.1181,                 5.4409,                 3.9233,                 4.1724,                0.02233,                0.07692,                0.01626,                0.00567,                0.00129,                0.36538,                 0.0015,                0.00027,                 2.8175,                  5.402,                 3.4795,                 4.2126,              0.0013365,             0.00089268,             0.00089268
                     39,                 3.0527,                 5.2943,                 3.9213,                 4.1712,                0.00717,                0.01923,                0.01313,                0.00495,                0.00122,                0.34615,                0.00132,                0.00025,                 2.7881,                  5.368,                 3.4999,                 4.2226,               0.001358,             0.00091618,             0.00091618
                     40,                   3.08,                 5.3807,                 3.8776,                 4.1756,                0.01274,                0.03846,                0.01206,                0.00437,                0.00122,                0.34615,                0.00121,                0.00021,                 2.8141,                 5.5379,                 3.5136,                 4.2027,              0.0013794,             0.00093968,             0.00093968
                     41,                 3.0531,                 5.4625,                 3.8782,                 4.1832,                0.01137,                0.03846,                0.01298,                 0.0045,                0.00136,                0.38462,                0.00141,                0.00024,                  2.767,                 5.5348,                 3.5731,                 4.2262,              0.0014009,             0.00096318,             0.00096318
                     42,                 3.1019,                 5.1814,                 3.8951,                 4.1696,                 0.4019,                0.01923,                0.02126,                0.01038,                0.00109,                0.30769,                0.00093,                0.00017,                 2.7819,                 5.9407,                 3.5564,                 4.2272,              0.0014224,             0.00098667,             0.00098667
                     43,                 3.1723,                 5.3739,                  3.919,                 4.1697,                0.10811,                0.01923,                  0.017,                0.00577,                0.00122,                0.34615,                0.00124,                0.00022,                 2.7565,                 6.0005,                 3.5206,                 4.2372,              0.0014439,              0.0010102,              0.0010102
                     44,                 3.0942,                 5.1901,                 3.8584,                 4.1709,                0.08058,                0.03846,                0.01737,                  0.005,                0.00129,                0.36538,                0.00121,                0.00023,                 2.7618,                 5.6148,                 3.4914,                 4.2033,              0.0014654,              0.0010336,              0.0010336
                     45,                  3.038,                 5.1422,                 3.9268,                 4.1609,                0.01793,                0.07692,                0.01199,                0.00428,                0.00129,                0.36538,                0.00125,                0.00024,                 2.7718,                 5.7271,                 3.4911,                 4.2076,              0.0014868,              0.0010571,              0.0010571
                     46,                 3.1713,                 5.1062,                 3.8547,                 4.1637,                0.00286,                0.80769,                  0.013,                0.00453,                0.00156,                0.44231,                0.00198,                0.00032,                 2.7546,                 5.5646,                 3.4865,                 4.2097,              0.0015083,              0.0010806,              0.0010806
                     47,                 3.0648,                 5.3016,                 3.8641,                   4.16,                0.01089,                0.05769,                0.01522,                0.00488,                0.00143,                0.40385,                0.00154,                0.00033,                 2.7483,                 5.3997,                  3.443,                 4.1907,              0.0015298,               0.001104,               0.001104
                     48,                 3.0657,                 5.0572,                 3.8532,                 4.1589,                0.01689,                0.55769,                0.01734,                0.00567,                 0.0015,                0.42308,                0.00181,                0.00039,                 2.7529,                 5.3782,                 3.4435,                 4.2192,              0.0015512,              0.0011275,              0.0011275
                     49,                 3.1178,                 5.0561,                 3.8883,                 4.1611,                 0.0186,                0.61538,                0.01794,                0.00592,                0.00156,                0.44231,                0.00224,                 0.0004,                 2.7721,                 5.3846,                 3.4403,                 4.1959,              0.0015727,               0.001151,               0.001151
                     50,                 3.2406,                 5.0411,                 3.9034,                 4.1626,                0.00286,                0.80769,                0.01726,                0.00555,                 0.0017,                0.48077,                0.00255,                0.00048,                 2.7948,                 5.4713,                 3.4174,                 4.2046,              0.0015941,              0.0011744,              0.0011744
                     51,                 3.0681,                 4.9883,                 3.8721,                 4.1577,                0.00286,                0.80769,                0.01684,                0.00559,                 0.0015,                0.42308,                0.00178,                0.00033,                 2.7828,                  5.816,                 3.5354,                 4.2567,              0.0016156,              0.0011979,              0.0011979
                     52,                 3.1027,                  4.905,                 3.8648,                 4.1529,                0.02502,                0.11538,                0.01902,                0.00632,                0.00156,                0.44231,                0.00224,                0.00041,                 2.7663,                 5.7594,                 3.3742,                 4.2402,               0.001637,              0.0012213,              0.0012213
                     53,                 3.2294,                 4.8718,                 3.9308,                 4.1525,                0.00783,                0.03846,                0.02014,                0.00651,                0.00197,                0.55769,                0.00351,                0.00068,                 2.8194,                 5.3281,                 3.3806,                 4.2115,              0.0016584,              0.0012447,              0.0012447
                     54,                 3.1301,                 4.8346,                  3.853,                 4.1541,                0.01573,                0.61538,                0.02492,                0.00701,                 0.0015,                0.42308,                0.00203,                0.00031,                 2.7834,                 6.3069,                 3.3446,                 4.2262,              0.0016799,              0.0012682,              0.0012682
                     55,                 3.0627,                 4.8073,                 3.8955,                 4.1476,                0.01728,                0.03846,                0.02337,                0.00686,                0.00156,                0.44231,                0.00212,                0.00035,                 2.7954,                  6.346,                 3.4012,                 4.2339,              0.0017013,              0.0012916,              0.0012916
                     56,                 3.0978,                  4.706,                    3.8,                 4.1433,                0.00286,                0.80769,                0.02819,                0.00836,                 0.0017,                0.48077,                0.00287,                0.00051,                 2.7782,                 5.9934,                 3.3677,                 4.2872,              0.0017227,               0.001315,               0.001315
                     57,                 3.1249,                 4.7125,                 3.8081,                 4.1439,                0.02406,                0.01923,                0.03457,                0.01192,                0.00211,                0.59615,                  0.005,                0.00098,                 2.7877,                 5.2256,                  3.321,                 4.2006,              0.0017441,              0.0013385,              0.0013385
                     58,                 3.1123,                 4.6757,                 3.8747,                 4.1383,                0.01081,                0.67308,                0.03216,                0.01061,                0.00224,                0.63462,                0.00655,                 0.0011,                 2.7306,                 4.9586,                 3.3583,                  4.124,              0.0017655,              0.0013619,              0.0013619
                     59,                 3.1595,                 4.6265,                 3.8233,                 4.1446,                0.00286,                0.80769,                0.02899,                0.00865,                0.00231,                0.65385,                0.00571,                0.00114,                  2.801,                  4.857,                 3.4196,                  4.195,              0.0017869,              0.0013853,              0.0013853
                     60,                 3.1462,                 4.5518,                 3.8505,                  4.141,                0.00286,                0.80769,                0.02619,                0.00807,                0.00218,                0.61538,                0.00539,                0.00098,                 2.8433,                 4.9147,                    3.4,                 4.1989,              0.0018083,              0.0014087,              0.0014087
                     61,                 3.1125,                  4.675,                 3.8272,                 4.1387,                0.03595,                0.03846,                0.03715,                0.01309,                0.00218,                0.61538,                0.00574,                0.00109,                 2.8325,                 4.9879,                 3.3785,                 4.1821,              0.0018297,              0.0014321,              0.0014321
                     62,                 3.2914,                 4.5232,                  3.858,                 4.1384,                0.01222,                0.65385,                 0.0364,                0.00953,                0.00218,                0.61538,                0.00571,                0.00111,                 2.8225,                 4.9513,                 3.3497,                 4.1331,              0.0018511,              0.0014555,              0.0014555
                     63,                 3.1704,                 4.5039,                 3.8513,                 4.1341,                0.00286,                0.80769,                0.03026,                0.00963,                0.00245,                0.69231,                0.00747,                0.00156,                 2.7249,                 4.8631,                 3.3688,                 4.2004,              0.0018725,              0.0014789,              0.0014789
                     64,                  3.149,                 4.4692,                 3.8293,                 4.1293,                0.00286,                0.80769,                0.03134,                0.00909,                0.00231,                0.65385,                0.00707,                0.00151,                 2.7477,                 4.9943,                  3.289,                 4.2104,              0.0018939,              0.0015023,              0.0015023
                     65,                 3.0779,                 4.4221,                 3.8103,                  4.128,                0.02285,                0.59615,                 0.0258,                0.00835,                0.00245,                0.69231,                0.00899,                0.00172,                 2.7415,                 4.7926,                 3.2912,                 4.1971,              0.0019152,              0.0015256,              0.0015256
                     66,                  3.181,                 4.3501,                 3.8693,                 4.1305,                0.00286,                0.80769,                0.02836,                0.00876,                0.00218,                0.61538,                0.00578,                0.00129,                 2.8156,                 5.3695,                 3.2826,                 4.2083,              0.0019366,               0.001549,               0.001549
                     67,                 3.1279,                 4.4012,                  3.802,                  4.117,                0.00286,                0.80769,                0.02557,                0.00909,                0.00245,                0.69231,                0.00961,                0.00213,                 2.6986,                 4.6506,                 3.2948,                 4.1755,               0.001958,              0.0015724,              0.0015724
                     68,                 3.1193,                 4.3303,                 3.8222,                 4.1173,                0.00286,                0.80769,                0.03104,                0.01067,                0.00245,                0.69231,                0.00936,                0.00199,                 2.7188,                 4.6322,                 3.2258,                 4.1977,              0.0019793,              0.0015958,              0.0015958
                     69,                 3.1871,                 4.3026,                 3.8202,                 4.1161,                0.00286,                0.80769,                0.03968,                0.01289,                0.00238,                0.67308,                0.01487,                  0.003,                 2.7093,                 4.5633,                 3.2647,                 4.1466,              0.0020007,              0.0016191,              0.0016191
                     70,                 3.2544,                  4.265,                 3.7388,                 4.1137,                0.00286,                0.80769,                0.03926,                0.01397,                0.00252,                0.71154,                0.01486,                0.00338,                 2.7231,                 4.5948,                 3.3456,                 4.1595,               0.002022,              0.0016425,              0.0016425
                     71,                 3.1063,                 4.2927,                 3.7246,                 4.1106,                0.00286,                0.80769,                0.04781,                0.01597,                0.00252,                0.71154,                0.01854,                0.00435,                  2.653,                  4.354,                 3.3328,                 4.1407,              0.0020434,              0.0016658,              0.0016658
                     72,                 3.0477,                 4.2185,                 3.7423,                 4.1038,                0.00286,                0.80769,                0.04054,                0.01432,                0.00252,                0.71154,                0.01938,                0.00492,                 2.6162,                 4.3393,                 3.2934,                 4.1206,              0.0020647,              0.0016892,              0.0016892
                     73,                 3.0195,                 4.1914,                 3.7409,                 4.0919,                0.00286,                0.80769,                0.03078,                 0.0105,                0.00252,                0.71154,                0.01187,                0.00312,                 2.7047,                  4.347,                 3.2666,                 4.1367,              0.0020861,              0.0017125,              0.0017125
                     74,                 3.1488,                 4.2004,                 3.7834,                 4.1064,                0.00286,                0.80769,                0.05172,                0.02308,                0.00252,                0.71154,                0.02056,                0.00531,                 2.6606,                 4.4463,                   3.27,                 4.1246,              0.0021074,              0.0017359,              0.0017359
                     75,                  3.032,                 4.1272,                 3.6718,                 4.0879,                0.00293,                0.82692,                0.03906,                0.01104,                0.00231,                0.65385,                0.01333,                0.00347,                 2.7395,                  4.745,                 3.2569,                 4.2055,              0.0021287,              0.0017592,              0.0017592
                     76,                 3.0569,                 4.2129,                 3.7373,                 4.0894,                0.00286,                0.80769,                0.02966,                0.00938,                0.00259,                0.73077,                0.01347,                0.00337,                 2.6974,                 4.5941,                 3.2283,                 4.1965,              0.0021501,              0.0017825,              0.0017825
                     77,                 3.1765,                 4.1662,                 3.7462,                 4.0896,                0.00293,                0.82692,                0.03335,                0.01157,                0.00265,                   0.75,                0.01455,                0.00339,                 2.7303,                 4.7581,                 3.2755,                 4.2723,              0.0021714,              0.0018059,              0.0018059
                     78,                 3.0771,                 4.0975,                 3.7097,                 4.0805,                0.07155,                0.09615,                0.06563,                0.01633,                0.00252,                0.71154,                0.00919,                0.00241,                  2.802,                 5.3987,                 3.2763,                 4.3359,              0.0021927,              0.0018292,              0.0018292
                     79,                 3.2024,                  4.127,                 3.7328,                 4.0916,                0.01171,                0.65385,                0.04202,                0.01119,                0.00245,                0.69231,                0.00957,                0.00265,                  2.655,                 4.6754,                 3.2124,                 4.2136,               0.002214,              0.0018525,              0.0018525
                     80,                 3.1406,                  4.001,                 3.6948,                 4.0776,                0.00293,                0.82692,                0.03636,                0.01239,                0.00265,                   0.75,                0.01137,                0.00304,                 2.7042,                 4.8945,                 3.2282,                 4.2028,              0.0022353,              0.0018758,              0.0018758
                     81,                 3.1256,                 3.9956,                 3.6778,                 4.0781,                0.13049,                0.03846,                0.04991,                0.01473,                0.00259,                0.73077,                0.01428,                 0.0035,                 2.6639,                  4.663,                  3.258,                   4.15,              0.0022566,              0.0018991,              0.0018991
                     82,                 3.1357,                 4.1593,                 3.7515,                 4.0716,                0.00293,                0.82692,                0.03614,                0.01157,                0.00259,                0.73077,                0.01737,                 0.0043,                 2.6787,                 4.5636,                 3.2677,                 4.0936,              0.0022779,              0.0019224,              0.0019224
                     83,                 3.2283,                 4.1108,                 3.7308,                 4.0794,                0.00293,                0.82692,                0.03705,                0.01444,                0.00265,                   0.75,                0.01704,                0.00404,                 2.6444,                 4.5208,                 3.3148,                  4.103,              0.0022992,              0.0019457,              0.0019457
                     84,                 3.0001,                 3.9316,                 3.6592,                 4.0694,                0.00299,                0.84615,                0.03779,                0.01288,                0.00259,                0.73077,                0.01318,                0.00364,                 2.6604,                 4.6535,                 3.3142,                 4.0991,              0.0023205,               0.001969,               0.001969
                     85,                 3.2127,                 4.0467,                 3.7018,                 4.0747,                0.00299,                0.84615,                0.03394,                0.01004,                0.00259,                0.73077,                0.01123,                0.00284,                 2.6602,                 4.7384,                 3.2973,                 4.0809,              0.0023418,              0.0019923,              0.0019923
                     86,                 3.1704,                 4.0766,                 3.6688,                 4.0633,                0.00293,                0.82692,                0.03235,                0.01063,                0.00259,                0.73077,                0.01512,                0.00422,                 2.6486,                 4.6673,                 3.3568,                 4.0717,               0.002363,              0.0020156,              0.0020156
                     87,                 3.2319,                 4.0351,                 3.6141,                 4.0727,                0.00286,                0.80769,                 0.0465,                 0.0151,                0.00259,                0.73077,                0.02069,                0.00604,                 2.6206,                 4.4057,                 3.3564,                  4.044,              0.0023843,              0.0020389,              0.0020389
                     88,                 3.1217,                 4.0966,                  3.714,                 4.0628,                0.00293,                0.82692,                0.05609,                0.01769,                0.00265,                   0.75,                0.02442,                 0.0064,                 2.5707,                 4.3177,                 3.4096,                 4.0415,              0.0024056,              0.0020621,              0.0020621
                     89,                  3.062,                 3.9154,                 3.5846,                 4.0474,                0.00286,                0.80769,                0.06105,                0.01989,                0.00259,                0.73077,                0.02932,                0.00824,                  2.551,                  4.449,                 3.4365,                 4.0471,              0.0024268,              0.0020854,              0.0020854
                     90,                 3.1717,                 4.0472,                 3.6481,                 4.0551,                0.00279,                0.78846,                0.07135,                0.02236,                0.00259,                0.73077,                0.02881,                0.00815,                 2.5487,                 4.3142,                 3.4632,                 4.0351,              0.0024481,              0.0021087,              0.0021087
                     91,                   3.12,                  3.983,                 3.6232,                 4.0447,                0.00299,                0.84615,                0.06435,                0.01958,                0.00265,                   0.75,                0.03612,                0.01065,                  2.573,                 4.2841,                  3.396,                 4.0273,              0.0024694,              0.0021319,              0.0021319
                     92,                 3.1411,                 3.9386,                  3.623,                 4.0566,                0.00299,                0.84615,                 0.0557,                0.01636,                0.00272,                0.76923,                0.04269,                0.01119,                 2.5749,                 4.4639,                 3.4517,                 4.0353,              0.0024906,              0.0021552,              0.0021552
                     93,                  3.092,                 3.9796,                 3.5912,                 4.0548,                0.00286,                0.80769,                0.06511,                0.01865,                0.00265,                   0.75,                0.05384,                0.01172,                 2.5093,                 4.4456,                 3.4224,                 4.0331,              0.0025119,              0.0021784,              0.0021784
