                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.0454,                 3.8591,                 3.3903,                 3.5932,                0.05246,                0.08163,                0.03949,                0.01314,                0.13619,                0.06122,                0.05855,                0.01496,                 2.6435,                 4.3011,                 3.3514,                 3.5002,              0.0014102,             6.0568e-06,             6.0568e-06
                     35,                 3.1522,                 3.7498,                    3.4,                 3.6279,                0.04897,                0.04082,                0.03627,                0.01231,                0.15419,                0.04082,                0.05368,                0.01495,                 2.6304,                 4.2612,                 3.2373,                    3.5,              0.0014018,             6.2347e-06,             6.2347e-06
                     36,                 3.1608,                  3.782,                 3.3782,                  3.631,                0.07221,                0.12245,                0.04297,                0.01476,                 0.0966,                0.06122,                0.04905,                0.01497,                   2.62,                 4.2646,                 3.1446,                 3.4736,              0.0013933,             6.4124e-06,             6.4124e-06
                     37,                 3.0737,                 3.7497,                 3.3353,                  3.585,                0.09164,                0.10204,                0.06107,                0.01939,                0.15977,                0.06122,                0.05931,                0.02382,                 2.6414,                 4.2106,                 3.2052,                 3.4648,              0.0013849,             6.5902e-06,             6.5902e-06
                     38,                 3.1058,                 3.8065,                  3.342,                 3.5872,                0.05923,                0.08163,                0.05392,                0.01412,                0.15295,                0.06122,                0.05101,                0.01647,                 2.6254,                 4.1594,                 3.3069,                 3.4486,              0.0013765,             6.7679e-06,             6.7679e-06
                     39,                 3.0876,                  3.705,                 3.2992,                 3.5787,                 0.1651,                0.10204,                 0.0754,                0.02384,                0.10408,                0.10204,                0.06685,                0.02568,                 2.6095,                 4.1286,                  3.088,                 3.4404,               0.001368,             6.9456e-06,             6.9456e-06
                     40,                 3.1065,                 3.7298,                 3.2523,                 3.5725,                0.07522,                0.10204,                0.04464,                 0.0135,                0.06866,                0.06122,                 0.0334,                0.01065,                 2.6143,                 4.1234,                 3.1126,                 3.4415,              0.0013596,             7.1232e-06,             7.1232e-06
                     41,                  3.079,                 3.7309,                 3.2591,                 3.5537,                0.13702,                0.08163,                0.07109,                 0.0233,                0.13754,                0.06122,                 0.0633,                0.02398,                 2.6447,                 4.1392,                 3.0876,                 3.4554,              0.0013512,             7.3008e-06,             7.3008e-06
                     42,                 3.0545,                 3.6864,                 3.2613,                 3.5578,                0.13347,                0.10204,                0.08538,                 0.0326,                0.22834,                0.06122,                0.07456,                0.03149,                 2.6462,                 4.1206,                 3.1575,                 3.4484,              0.0013427,             7.4784e-06,             7.4784e-06
                     43,                 3.0669,                 3.6221,                 3.2632,                 3.5425,                0.10115,                0.08163,                0.07684,                0.03089,                0.15318,                0.06122,                0.07152,                 0.0309,                  2.652,                 4.0831,                 3.0558,                 3.4522,              0.0013343,             7.6559e-06,             7.6559e-06
                     44,                 2.9984,                 3.6056,                 3.2583,                 3.5111,                0.07341,                0.12245,                0.09704,                0.04201,                0.11557,                0.08163,                0.08389,                0.03711,                 2.6389,                 4.1368,                  2.981,                 3.4254,              0.0013259,             7.8334e-06,             7.8334e-06
                     45,                 3.0292,                 3.5886,                 3.1795,                 3.5113,                0.09035,                0.12245,                0.09502,                0.03722,                0.08066,                0.06122,                0.07756,                0.03176,                 2.6127,                 4.1062,                 2.9738,                 3.4002,              0.0013174,             8.0109e-06,             8.0109e-06
                     46,                 3.0403,                 3.5515,                 3.1606,                 3.5143,                0.09104,                0.12245,                0.09884,                0.03843,                0.13054,                0.12245,                0.08617,                0.03663,                 2.6035,                 4.0346,                 3.0413,                 3.3886,               0.001309,             8.1883e-06,             8.1883e-06
                     47,                  3.004,                 3.5179,                 3.1305,                 3.5154,                0.08363,                0.10204,                0.08461,                0.03215,                0.07204,                0.08163,                0.07369,                0.02846,                 2.6117,                 4.0157,                 2.9475,                 3.3937,              0.0013006,             8.3657e-06,             8.3657e-06
                     48,                 3.0429,                 3.5407,                 3.1204,                 3.4973,                0.08922,                0.20408,                0.07755,                0.02697,                0.08487,                0.14286,                0.06634,                0.02587,                 2.6527,                 3.9763,                 2.9648,                 3.3969,              0.0012921,              8.543e-06,              8.543e-06
                     49,                 3.0034,                 3.6667,                 3.1549,                 3.4873,                0.10267,                0.16114,                0.06494,                0.01997,                 0.0961,                0.14286,                0.06209,                0.02026,                 2.6401,                 3.9759,                 2.9642,                 3.3914,              0.0012837,             8.7203e-06,             8.7203e-06
                     50,                 3.0306,                 3.5701,                 3.1243,                 3.4829,                0.11655,                0.12245,                0.06723,                0.01903,                 0.1442,                0.14286,                0.06707,                0.02461,                 2.6965,                 3.9775,                 3.1042,                 3.4313,              0.0012753,             8.8976e-06,             8.8976e-06
                     51,                 2.9893,                 3.4993,                 3.1014,                  3.467,                0.12214,                0.22449,                0.08024,                0.02329,                0.15275,                0.14286,                0.08011,                0.02862,                 2.6839,                  3.895,                 2.9067,                  3.406,              0.0012668,             9.0749e-06,             9.0749e-06
                     52,                 3.0213,                 3.5269,                 3.0724,                 3.4684,                0.09197,                0.16327,                0.10088,                0.03562,                0.09373,                0.12245,                 0.0939,                0.03853,                 2.6937,                 3.8982,                 2.8929,                 3.4165,              0.0012584,             9.2521e-06,             9.2521e-06
                     53,                 2.9909,                 3.3952,                 3.0878,                 3.4715,                0.15286,                0.18367,                0.12973,                0.05454,                0.22218,                0.10204,                0.12849,                0.04932,                 2.6314,                 3.8977,                  2.835,                 3.3801,              0.0012499,             9.4293e-06,             9.4293e-06
