                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.9049,                 3.4831,                 3.1766,                 3.5344,                0.14453,                0.28571,                0.10774,                0.02496,                0.16415,                0.26531,                 0.0898,                0.02213,                 2.7775,                 3.8157,                 4.0158,                 3.6284,              0.0032535,             9.2748e-06,             9.2748e-06
                     37,                 2.9953,                 3.5362,                 3.2546,                 3.5277,                0.16227,                0.14286,                0.09384,                0.02231,                0.15554,                0.14286,                0.08043,                0.02481,                 2.8582,                  3.887,                   3.11,                 3.6625,              0.0032251,             9.5326e-06,             9.5326e-06
                     38,                 3.0083,                 3.7751,                 3.2253,                 3.5365,                0.15717,                0.22449,                0.09301,                0.01981,                0.17273,                0.26531,                0.08654,                0.02061,                 2.8246,                 3.9329,                 3.3735,                 3.6238,              0.0031967,             9.7905e-06,             9.7905e-06
                     39,                 2.9238,                 3.5187,                 3.2386,                 3.5201,                0.11817,                0.18367,                0.05736,                0.01577,                0.10507,                0.14286,                0.08571,                0.02129,                 2.7567,                 3.8522,                 3.1567,                 3.6249,              0.0031683,             1.0048e-05,             1.0048e-05
                     40,                 2.8988,                 3.5375,                 3.1492,                 3.5064,                0.15534,                 0.2449,                0.09655,                0.02144,                0.12816,                 0.2449,                0.06549,                0.01968,                 2.8744,                 3.9346,                 3.2269,                  3.663,              0.0031399,             1.0306e-05,             1.0306e-05
                     41,                 2.9409,                 3.6212,                 3.1114,                 3.5367,                0.22927,                0.20408,                0.11986,                0.02691,                0.18097,                0.18367,                0.10049,                  0.023,                 2.8392,                 4.1203,                 2.9723,                 3.6385,              0.0031115,             1.0564e-05,             1.0564e-05
                     42,                 3.0145,                 3.5681,                 3.1413,                 3.5353,                0.29638,                0.18367,                 0.1048,                0.02374,                0.14972,                0.14286,                0.07923,                0.02173,                 2.7892,                 4.1503,                 3.0124,                 3.6443,              0.0030831,             1.0821e-05,             1.0821e-05
                     43,                 2.9465,                 3.5155,                 3.0478,                 3.5017,                0.23008,                0.18367,                0.09557,                0.01853,                0.18422,                0.16327,                0.08633,                0.02588,                 2.8935,                    3.9,                 3.4676,                 3.6819,              0.0030546,             1.1079e-05,             1.1079e-05
                     44,                 3.0486,                 3.3067,                 3.0782,                 3.5479,                0.21129,                0.16327,                0.08645,                0.01801,                0.22443,                0.16541,                0.08849,                0.02285,                 2.7947,                 3.7322,                 3.7146,                 3.6259,              0.0030262,             1.1336e-05,             1.1336e-05
                     45,                 2.9068,                 3.5209,                 3.1343,                 3.4701,                0.23388,                0.16327,                0.08477,                 0.0184,                0.29087,                0.10204,                0.10204,                0.02724,                 2.8551,                 3.8393,                  3.167,                 3.6812,              0.0029978,             1.1594e-05,             1.1594e-05
                     46,                 2.9917,                 3.4698,                 3.1015,                 3.5055,                0.15417,                0.16746,                0.09674,                0.01887,                0.13586,                0.28571,                0.09215,                0.02386,                  2.812,                 3.9996,                 3.2703,                 3.6346,              0.0029694,             1.1851e-05,             1.1851e-05
                     47,                 2.8582,                 3.6144,                 3.0894,                 3.4635,                 0.2362,                0.12245,                  0.084,                0.01781,                0.34403,                0.12245,                 0.1069,                0.02368,                 2.8369,                 4.0432,                 3.1803,                 3.6859,               0.002941,             1.2109e-05,             1.2109e-05
                     48,                 2.9045,                 3.4558,                 3.0339,                 3.5129,                0.19827,                0.30612,                0.15043,                0.04596,                0.16102,                0.30612,                0.16079,                0.05791,                 2.6643,                  3.674,                 2.9517,                 3.6496,              0.0029126,             1.2366e-05,             1.2366e-05
                     49,                 2.7741,                 3.3767,                 3.0292,                 3.4349,                 0.2499,                0.20408,                0.10355,                0.02892,                0.25562,                0.16327,                0.14403,                0.03551,                 2.6995,                 4.1337,                  3.043,                 3.6037,              0.0028842,             1.2623e-05,             1.2623e-05
                     50,                 2.8039,                 3.3684,                 2.9897,                 3.4193,                 0.0985,                 0.2449,                0.06137,                0.01758,                0.13488,                0.25779,                 0.0855,                0.02592,                 2.7816,                 3.7206,                 3.0988,                 3.6796,              0.0028558,              1.288e-05,              1.288e-05
                     51,                 2.8465,                 3.3688,                 2.9241,                 3.4456,                0.27851,                0.30612,                0.17317,                0.04428,                0.25994,                0.28571,                0.16586,                0.05898,                 2.6541,                 3.7068,                 2.8248,                 3.6331,              0.0028274,             1.3138e-05,             1.3138e-05
                     52,                 2.8363,                 3.3213,                 3.0267,                  3.403,                0.18125,                 0.2449,                0.12119,                0.03297,                0.28597,                0.26531,                0.15278,                0.04448,                  2.744,                 3.6888,                 2.8272,                 3.6309,              0.0027989,             1.3395e-05,             1.3395e-05
                     53,                  2.819,                  3.369,                 2.9119,                  3.422,                0.24549,                0.16327,                0.12378,                0.02721,                0.22953,                0.18367,                0.13083,                0.03723,                  2.842,                 3.6484,                 2.8278,                 3.6869,              0.0027705,             1.3652e-05,             1.3652e-05
                     54,                 2.7849,                 3.3726,                 2.9703,                 3.4123,                0.17846,                0.26531,                0.08154,                0.02308,                0.18124,                0.30612,                0.12851,                 0.0387,                 2.7485,                 3.4657,                 2.8204,                 3.6595,              0.0027421,             1.3909e-05,             1.3909e-05
                     55,                 2.7999,                 3.3731,                 2.9156,                 3.3802,                 0.1577,                0.30612,                0.09534,                0.02585,                0.19261,                0.28571,                0.14259,                0.04336,                 2.7127,                  3.581,                 2.8946,                 3.6096,              0.0027137,             1.4166e-05,             1.4166e-05
                     56,                 2.6886,                 3.3475,                 2.8797,                 3.3772,                0.13038,                0.34694,                0.09645,                0.02569,                0.31445,                0.18367,                0.15349,                0.03708,                 2.7256,                 3.6719,                 2.9874,                 3.6213,              0.0026853,             1.4423e-05,             1.4423e-05
                     57,                 2.6936,                 3.4776,                 3.0163,                   3.37,                0.18172,                0.30612,                0.13724,                0.04871,                0.27329,                0.22449,                0.19316,                0.06164,                 2.6317,                 3.4958,                 2.7879,                 3.6076,              0.0026569,             1.4679e-05,             1.4679e-05
                     58,                 2.6507,                 3.4337,                  2.952,                 3.3279,                0.20739,                0.36735,                0.14588,                0.06108,                0.20225,                0.26531,                0.18165,                0.06819,                 2.6258,                 3.5143,                 2.8641,                 3.5932,              0.0026285,             1.4936e-05,             1.4936e-05
                     59,                 2.7561,                 3.3857,                 2.9706,                  3.416,                0.17719,                0.18367,                0.11949,                 0.0412,                0.22353,                0.20408,                0.19235,                0.05819,                 2.6387,                 3.5779,                 2.8896,                 3.5814,              0.0026001,             1.5193e-05,             1.5193e-05
                     60,                 2.6882,                 3.2763,                 2.9605,                 3.3212,                0.20054,                0.32653,                0.17679,                0.07032,                0.24222,                 0.2449,                0.20828,                0.08473,                 2.5559,                 3.7348,                 3.1525,                 3.6703,              0.0025717,              1.545e-05,              1.545e-05
